V 0 :0.997550141414603 -0.0256558632785086 -0.0650841230526362 -0.064318001815245 0.0296348157666499 -0.997489400238025 0.0275202035842425 0.999231692855599 0.0279119837114456 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998381401460359 0.00426332165029703 0.0567167370259577 -0.00400116664516162 -0.999980902192467 0.00473492889225927 0.0567358322441578 0.00450033042579889 0.998379111289978 ,0.123697291390848 -0.0322732837191841 0.297656389403048 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0853228952055448 -0.364064104331154 0.00989361408597888 ,19.3054904937744
V 348 :-0.98942793324958 0.144554039182269 0.0116856290162241 -0.0374873560220101 -0.177085622614214 -0.983481297787967 -0.14009684024205 -0.973521939219685 0.180632336912204 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.992864245757151 0.111939657235837 0.0411107837223907 -0.116715164914483 0.982890781852783 0.14248939370537 -0.0244571976363659 -0.146270886063576 0.988942205905914 ,-26.9176191807892 -6.01850596161954 -30.4781358436354 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.1639973137205 -26.7642394417434 -0.0643071308279723 ,19.3054904937744
V 349 :-0.994009082481768 0.109131540071161 0.00602631743279919 -0.0246279913136665 -0.169919913468101 -0.985150140435548 -0.106486961325752 -0.979396597189323 0.171589555097706 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.996535085341339 0.0777864208201322 0.0294465121703032 -0.0810801404605465 0.98746385344148 0.135429336988521 -0.0185428038239479 -0.137347623705864 0.990349352359772 ,-28.0158941531749 -5.55691722266772 -30.2348777739993 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.2430925980436 -27.4187286613909 -0.0822528173582902 ,19.3054904937744
V 350 :-0.988706766379488 0.146879720557958 0.0297548489241199 -0.053230681464011 -0.158592274701426 -0.985908251907683 -0.140091052180493 -0.976358057076922 0.16461967392333 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.992025143297784 0.11249676205468 0.0568384006489838 -0.118816234107628 0.985156729319471 0.123890811811418 -0.0420574210584164 -0.129656121134758 0.990666687488556 ,-26.7677743389432 -6.22627684228489 -31.8391539073388 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.2919521884753 -28.0611474677137 -0.0637589367613111 ,19.3054904937744
V 352 :-0.994759899280203 0.102237472278342 -0.000554724405163909 -0.0199126504807236 -0.199064153077876 -0.979784165207134 -0.100281089835565 -0.974638969723958 0.200056777980594 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.997135425322887 0.071402514917406 0.0249524795342778 -0.0745501910869842 0.983509445522367 0.164776777556205 -0.0127755217254162 -0.166164979338646 0.986015200614929 ,-28.1915820027393 -6.59701989146495 -31.8161316891488 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.4050214522822 -29.359482389409 -0.081445433287097 ,19.3054904937744
V 353 :-0.996966048189755 0.077720424333275 -0.00427346133472722 -0.0120061476319031 -0.207790847453078 -0.978099618769118 -0.0769063069370353 -0.975080851301645 0.208093474165573 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.998701165046053 0.0477145266606072 0.0178681384064166 -0.0500970476489247 0.983524966414768 0.173691909912321 -0.00928613170981407 -0.17436146736145 0.984637916088104 ,-29.006810882034 -6.75343573813984 -31.7168566986159 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.4804352786272 -29.9953414106431 -0.0974096483093021 ,19.3054904937744
V 354 :-0.995268479226389 0.0955872121145854 -0.0174294284259147 -0.00179758630494279 -0.197466698758461 -0.980307974630641 -0.0971466393797269 -0.975638377162475 0.196704129554623 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.997685972299144 0.0676331225931898 0.00696004982785273 -0.0678612333736527 0.984255924840809 0.163202850579836 0.00418744841590524 -0.163297519087791 0.986567974090576 ,-28.3852191870298 -6.24228439361172 -32.995622264578 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.5078924053336 -30.6307401225545 -0.0914527618736413 ,19.3054904937744
V 355 :-0.989530102335078 0.143571332526092 -0.0147497248392003 -0.0199610427037508 -0.237354184446297 -0.971218099755047 -0.142939994522746 -0.960755181461149 0.237734852195852 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.993182829515483 0.114173995720965 0.0234990874890174 -0.116566654837622 0.972181161489493 0.203165065770419 0.000350795686244965 -0.204519256949425 0.978862464427948 ,-26.7292530263823 -8.17519535595133 -34.4635376023969 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.5748890182366 -31.1303036861192 -0.111794221611731 ,19.3054904937744
V 356 :-0.99954675790331 0.0289884023885679 -0.00812207702153384 0.00141432957970715 -0.224278433833935 -0.974524105934183 -0.0300715031717467 -0.974093994577656 0.224135708714762 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.999981430055128 0.000389939880126754 0.00607780361032992 -0.00154135892923863 0.981663041403408 0.190618295085017 -0.00589202530682087 -0.190624132752419 0.981645405292511 ,-30.6191136066956 -7.22282965581337 -31.9431634213806 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.6008732558403 -31.7695169950132 -0.0973428530844224 ,19.3054904937744
V 358 :-0.997122940818971 0.0753273412874218 0.0084688793445486 -0.0238381877524787 -0.20555667047487 -0.97835486242938 -0.0719560435163905 -0.975741994569305 0.206760860421102 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.998621256160831 0.0431717105990931 0.0298632761403692 -0.0476685790361585 0.984037706381307 0.171456928703317 -0.0219845026731491 -0.172644078731537 0.984738886356354 ,-29.1176630266463 -7.6551334720104 -34.5033063963343 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.74019794922 -32.9666665635123 -0.0761924205392653 ,19.3054904937744
V 359 :-0.986899456832986 0.161308052925751 0.00303025139456053 -0.0326642561266882 -0.181379667843557 -0.982870587943062 -0.157995316423653 -0.970093478553382 0.184272420924638 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.990908140564931 0.129728664202635 0.0356577319410503 -0.133595911292813 0.980109734848864 0.146755106243441 -0.0159101523458958 -0.15018455684185 0.988529980182648 ,-25.9597484477247 -7.19997536350237 -37.5053105679138 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.8148411057967 -33.4196691067213 -0.0525761276993977 ,19.3054904937744
V 360 :-0.991798772656782 0.127555648701772 -0.0080491136563639 -0.0184056362469628 -0.204865035431032 -0.978617176622484 -0.126477138771445 -0.970443265430278 0.205532555276459 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.994970013925621 0.0976074196913647 0.0225263338595576 -0.100025269393574 0.980267407588427 0.170501614667513 -0.00543960928916931 -0.171897202730179 0.985099852085114 ,-27.2735146815873 -7.67088109845291 -37.1575971880569 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.9280035389538 -34.0700004402196 -0.0572550735981671 ,19.3054904937744
V 361 :-0.992269991404584 0.121979185301387 -0.0228351439613901 -0.00441891435647976 -0.218621612645402 -0.975799723001089 -0.124019515748053 -0.968155912126035 0.217470598742651 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.995472477422751 0.0946572678256803 0.00863624890601563 -0.0946230247725519 0.978290453467191 0.184375321471586 0.00900370441377163 -0.18435774743557 0.982817947864532 ,-27.4289097296262 -7.8234829282859 -37.6410022494891 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-31.9579171128222 -34.7248103990989 -0.0442983809553895 ,19.3054904937744
V 362 :-0.998533705300666 0.0514759199402539 -0.0167567126418164 0.00618948895932462 -0.198947607735398 -0.979990639134386 -0.0537796271438524 -0.978657390377502 0.198337183944731 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.999713320319425 0.0239393755786238 0.000487125986725234 -0.0236917647849376 0.986016394662925 0.16495564609031 0.00346862059086561 -0.164919883012772 0.986300885677338 ,-30.1105141664909 -6.96015534968407 -36.470703128861 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.0284967725365 -35.4484385601917 -0.0597659728234041 ,19.3054904937744
V 363 :-0.996667423221108 0.0807696074757318 -0.0114170604948166 -0.00544190457749016 -0.205485962862436 -0.978644954541065 -0.0813908196871972 -0.975321494608332 0.205240631043156 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.998585968986898 0.0519774680480407 0.0111522335964142 -0.0531202985330315 0.983776382261017 0.171354247980223 -0.00206474494189024 -0.171704366803169 0.985146343708038 ,-28.9539214000866 -7.68763840989222 -37.8632571063564 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.0222988974618 -36.0898601474518 -0.0510636868951608 ,19.3054904937744
V 364 :-0.996394303696029 0.0848135886741424 0.00227160819450339 -0.0215939246298224 -0.227612438859352 -0.973512369320132 -0.0820500348364978 -0.970051261913762 0.228623117293882 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.998211512089164 0.0531996795789188 0.0272693943431139 -0.057485877788438 0.979392438773824 0.193612568053347 -0.0164073128253222 -0.194833904504776 0.980699002742767 ,-28.7976294974769 -9.16465676108052 -38.2583660919845 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.0712802892333 -36.6751614958234 -0.0790393292396507 ,19.3054904937744
V 366 :-0.984896676799182 0.172958945836351 0.00798445551240617 -0.0459925674807748 -0.216884901767196 -0.97511317244353 -0.16692284065396 -0.960753023288482 0.221563974650586 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.989073168770599 0.139164758529298 0.0486557569181031 -0.145786814829382 0.972345239815732 0.182458095960444 -0.0219184570014477 -0.18755778670311 0.982008993625641 ,-25.0806689718257 -9.82666757688203 -41.7877889039823 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.1621557813259 -37.8570742464012 -0.0916574575684236 ,19.3054904937744
V 367 :-0.999659798029907 0.0246116818363072 0.00864086967315486 -0.013913878594623 -0.222925800106547 -0.974736157865637 -0.0220636264205809 -0.9745247683753 0.223192313027328 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.999740069083003 -0.00708578011246228 0.0216710131130846 0.00285630593576562 0.98191722603995 0.189289085004894 -0.022620402276516 -0.189177975058556 0.981682240962982 ,-31.1663343273187 -9.15027260153129 -38.2388704178717 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.1718306167023 -38.4592930413626 -0.0837413789328734 ,19.3054904937744
V 368 :-0.993849091957647 0.107233493436955 -0.0276594436067287 0.00529855844695607 -0.203431787191678 -0.979074795534976 -0.110616424287314 -0.973199216930271 0.201612217528097 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.996723107497949 0.0808869702953323 -0.000603906063849519 -0.0796196391887679 0.982369370838841 0.169148306645753 0.0142751522362232 -0.168545931577682 0.985590398311615 ,-27.7840890422645 -7.8540606429531 -41.4400322832141 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.1952178464779 -38.8666847026243 -0.0719929897551449 ,19.3054904937744
V 369 :-0.995614057975169 0.0915851582056895 -0.0191026989295174 0.00212797809323073 -0.181962927798082 -0.983303113370852 -0.0935319593002853 -0.979031067924182 0.18096987373314 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.997952792917408 0.0638769047418158 0.00316333799799198 -0.0636433644468954 0.986993307133345 0.147626907320224 0.0063077537342906 -0.147526010870934 0.989038050174713 ,-28.4597468434708 -7.26935462257973 -41.580769041949 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.249376541246 -39.3453870146344 -0.133362274190714 ,19.3054904937744
V 370 :-0.999832958652265 0.0074865820270858 -0.0166766956759263 0.0151442156497178 -0.171696580517642 -0.985033483600959 -0.0102378650989134 -0.985121555002688 0.171554420194192 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.999777665390566 -0.0199040028534189 -0.00696363477302356 0.0206743281048567 0.99023377289535 0.137875595856595 0.00415135081857443 -0.137988895177841 0.990425050258636 ,-31.9526300515003 -6.55955374567464 -39.8028000051273 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.3027378604668 -40.0219384154298 -0.131650518506693 ,19.3054904937744
V 371 :-0.988756420122607 0.149069869789803 -0.0117891324847963 -0.0143921039857689 -0.1733396349892 -0.984756996451196 -0.148841123299032 -0.973515146811698 0.173536015857955 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.992627678002597 0.119900397811478 0.0177254312301462 -0.121200951462647 0.98288888210948 0.138707475057239 -0.000791046768426895 -0.139833211898804 0.990174770355225 ,-25.9662321658758 -7.6181319588052 -44.217242052509 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.4011751311974 -40.4142222042155 -0.100513242080072 ,19.3054904937744
V 372 :-0.990445593127482 0.137895749053836 -0.00152638601960253 -0.0229553722725295 -0.175772362243282 -0.984163213156443 -0.135980228446354 -0.97472508987948 0.177258333750147 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.993867393953679 0.107297287975301 0.0267371012477627 -0.110014223139695 0.983850332104228 0.141192593264658 -0.0111557245254517 -0.143268182873726 0.989621043205261 ,-26.5243477891694 -8.08513576306701 -44.3888244598535 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.5289859922095 -40.9491070116515 -0.0947569204985284 ,19.3054904937744
V 373 :-0.991243844797703 0.127312555335095 0.0350314288781641 -0.0571228387765858 -0.174258585199542 -0.983041706584075 -0.119049030724386 -0.976435163048033 0.180005125116078 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.993902869295235 0.0915351732761625 0.0614685405683825 -0.0993735858442138 0.985193147746467 0.139711533838747 -0.0477698631584644 -0.144968047738075 0.98828250169754 ,-26.9653350929336 -9.24615935535956 -44.4379395972293 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.5837172225779 -41.4880765804789 -0.109647604975005 ,19.3054904937744
V 374 :-0.982820060585312 0.181893960552581 0.031295860240562 -0.0632638267974656 -0.172710766142566 -0.982938823856715 -0.173385527180575 -0.968031896026003 0.181250823653967 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.987061141886182 0.146276369587985 0.0656778524526883 -0.154168628303885 0.978361748370695 0.137986560524629 -0.0440725311636925 -0.146326631307602 0.988254070281982 ,-24.4223119246639 -9.45329089545765 -46.2574467660676 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.6527971629142 -41.88627606506 -0.107733996495162 ,19.3054904937744
V 375 :-0.995584521836973 0.0925365550036013 0.0157647652421971 -0.0301134326105467 -0.155780610413273 -0.987332586805324 -0.088908516399188 -0.983447822064491 0.157879268112232 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.997543203103255 0.0603681225692505 0.0355424406944064 -0.0642658744045131 0.99053308125123 0.121301841997096 -0.0278831962496042 -0.123287990689278 0.991979122161865 ,-28.5955662730454 -7.7653374226144 -44.8001090115693 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.7258309404132 -42.543276195448 -0.106336558958406 ,19.3054904937744
V 376 :-0.988351086885454 0.152178919812487 0.00192807905943898 -0.024852896474515 -0.148886603211883 -0.988541925668516 -0.150148188233706 -0.977074506587135 0.150934238444867 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.992183129626888 0.121577943534183 0.0281316360879131 -0.124018690356295 0.985695528169468 0.114121522729994 -0.0138545669615269 -0.116718299686909 0.993068397045135 ,-25.8035774546087 -7.35668676798987 -46.9288079522553 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.7674124281199 -42.9405872403608 -0.10277788828851 ,19.3054904937744
V 377 :-0.974945668897781 0.222419262199597 0.00326438848059329 -0.0456167291864171 -0.185548655926631 -0.981575690633124 -0.217715661461312 -0.957131966474799 0.191045814774722 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.980647910877923 0.190186999267059 0.046460315450462 -0.195096789726519 0.969114814447278 0.150843451689993 -0.0163369216024876 -0.156988576054573 0.987465262413025 ,-22.3340478116779 -9.67463934357452 -48.6085469064955 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.8277297472294 -43.2677810442995 -0.103327573950921 ,19.3054904937744
V 378 :-0.971213480462358 0.236886225391248 -0.0250875594008872 -0.0197386538028051 -0.184983606044644 -0.9825434071544 -0.23739179981871 -0.953764214750168 0.18433430888768 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.977699752665872 0.209063248213703 0.0198943598509781 -0.209653304758999 0.966159541836221 0.150270498799675 0.0121949072927237 -0.151090353727341 0.988444745540619 ,-21.561568035533 -8.88066739334312 -49.4466904115277 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-32.8832040515669 -43.6105907102327 -0.11898675116505 ,19.3054904937744
