V 0 :0.997805019101527 0.0130518763962059 -0.0649216793587203 -0.0652564338555209 0.0271070328334701 -0.99750028921355 -0.0112594192369749 0.999547401706243 0.0278991636540438 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997484070298509 0.0430428002758951 0.0563277431863894 -0.0427189201595654 -0.999062993589211 0.00694204884002845 0.0565737672150135 0.00451832264661789 0.998388171195984 ,0.0113005227100032 -0.000705272080968371 0.0535879808898193 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.0403216022653402 -0.122530121866148 0.0408874962571506 ,19.3054904937744
V 607 :0.999914009563509 -0.0084624374887339 0.0100437756844923 0.0112047905704999 0.150715330643576 -0.988513715379464 0.00685148331513683 0.988541372125872 0.150797065031759 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999559790344805 0.022382957420173 -0.019485402212464 -0.0199585545468854 -0.992957265090431 -0.116782219494603 -0.021962096914649 -0.116341888904572 0.99296635389328 ,14.9734691675282 0.312145828870074 2.49598752736976 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.9464956586765 -2.46268718675848 -0.181128498427729 ,19.3054904937744
V 609 :0.997090235789798 0.076166196911833 -0.00317947053325224 -0.0151854892985835 0.157575415813164 -0.987390227408349 -0.0747047533307509 0.984565467152276 0.158273419670841 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.994497609345763 0.104679259707906 0.00412670494355074 -0.104376686727614 -0.986715121463152 -0.124495097711853 -0.00896017253398895 -0.124240793287754 0.992211639881134 ,15.1252620638213 -0.108020631096881 0.819299450965477 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.9687232410938 -2.01268753267403 -0.152341072215493 ,19.3054904937744
V 610 :0.996564704141309 0.0738290086171922 0.0375290891410451 0.0242399995877703 0.173284483760032 -0.984573511981368 -0.0791932971807164 0.982100996685701 0.17089947392436 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.993542397401967 0.10779147925843 -0.0354231870554556 -0.101849097114077 -0.984862758820736 -0.140258692169102 -0.0500056594610214 -0.135745123028755 0.989481031894684 ,15.1184745853715 0.446957013110504 0.421978814644928 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.992580620963 -1.67976754838076 -0.162605993397789 ,19.3054904937744
V 611 :0.999859146109783 0.00737932951212344 0.0150945178859461 0.0135730696608092 0.174764831479796 -0.984516713034067 -0.00990306306447554 0.984582954389637 0.174639918585884 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998986390808706 0.0390371466297731 -0.0224240635364081 -0.0354940618132302 -0.989361008235218 -0.141087034885146 -0.0276931207627058 -0.14014807343483 0.989743232727051 ,15.041907431221 0.290616700079329 1.27148610405261 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.983827855641 -1.48876218855529 -0.127473588914574 ,19.3054904937744
V 612 :0.999446772433848 -0.0295731784999448 0.0152350068602598 0.0200188725803818 0.16889465618964 -0.985430839860008 0.0265692140200038 0.985190680446399 0.16939310682231 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999616018092096 0.00236853196045184 -0.0276165005541197 0.00137869138525928 -0.990860550283747 -0.134884818074472 -0.0276835728436708 -0.134871065616608 0.990476369857788 ,14.9699312203268 0.320410029714053 1.62552812369752 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.9667528134321 -1.28946242669835 -0.151758562394547 ,19.3054904937744
V 613 :0.998804742531007 -0.0483394819013798 0.00722020513344396 0.0160314797970573 0.184465488828633 -0.982708285791199 0.0461717314977394 0.9816495058673 0.185019898678249 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999590127965662 -0.0170956382492929 -0.0229565064079092 0.0203587381607601 -0.988414392250057 -0.15040702767626 -0.0201192405074835 -0.150812759995461 0.988357603549957 ,14.9312185566817 0.215353020761218 1.71285364937114 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.9525995898415 -1.07736526481642 -0.178743536416157 ,19.3054904937744
V 614 :0.999850106131267 0.0134389315496262 0.0109303386383711 0.00843248725032033 0.173584106303917 -0.984782989068119 -0.01513176471495 0.984727523575443 0.173444649925385 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998859632798252 0.0444370136938424 -0.0174651980898806 -0.0415639644684684 -0.98928535736226 -0.139953745307244 -0.0234971903264523 -0.139068201184273 0.990004003047943 ,15.0132188726922 0.0815836893695132 0.529859949496691 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.9557293360338 -0.812449066117241 -0.140249497339061 ,19.3054904937744
V 615 :0.997259519375491 0.0695057951659223 0.0253432352991828 0.0141556241414203 0.156960987811147 -0.987503413535057 -0.072615110466032 0.985155972078433 0.155546867457049 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.994509157590253 0.101587526399384 -0.0251262808707224 -0.09774170829007 -0.987481133073758 -0.123804117444545 -0.0373886823654175 -0.120668448507786 0.99198853969574 ,15.0282858635913 0.115846523939473 -0.521991860422221 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-14.975216168535 -0.619841197521387 -0.147832056878518 ,19.3054904937744
V 617 :0.999850640729406 -0.00272206840268779 0.0170635885184579 0.0172784363676682 0.167611926363301 -0.985701652015349 -0.000176912136367193 0.985849356655491 0.167633870694358 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999240807991328 0.0291933140972839 -0.0257948252949454 -0.0254889754352881 -0.990679220228332 -0.133809217824007 -0.029460733756423 -0.133050173521042 0.990671336650848 ,15.0549784671184 0.10700792307834 0.0565702775555521 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.0081054517903 -0.108040499432966 -0.124758150220272 ,19.3054904937744
V 618 :0.999688591923191 -0.0211539533324499 0.0132614116828805 0.0163967840915865 0.155706968430897 -0.987667241015078 0.0188281739411516 0.987577182737725 0.156005194914988 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999653514663181 0.0102333449202673 -0.0242631444243491 -0.0072068005024469 -0.992541632420839 -0.12169553709587 -0.0253275260329247 -0.121478475630283 0.992270886898041 ,15.0501038467855 0.0377909672204338 0.15762621504023 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.003791884811 0.0810766736039381 -0.150005514235672 ,19.3054904937744
V 619 :0.999578536506797 0.0122384767042177 0.0263226483868678 0.0235813538235595 0.186469277529461 -0.98217778161904 -0.0169287251279774 0.982384582557578 0.186102012649848 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998420835242153 0.045702997784898 -0.0326637409049255 -0.0401973855338857 -0.987423599475583 -0.152900730039277 -0.039240974932909 -0.151346281170845 0.987701594829559 ,15.0511332627209 0.0681514864605321 -0.634038044656926 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.0098359071276 0.350691383977045 -0.176102906927402 ,19.3054904937744
V 620 :0.992089730706305 0.122794075850845 0.0260745656819214 0.00660236277598784 0.156384067558389 -0.987674310203858 -0.125358201477417 0.980033634768158 0.154336196263716 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.987821990836534 0.154382959893731 -0.0193352931831751 -0.150855898042144 -0.980766080470762 -0.123856668965135 -0.0380847603082657 -0.119431488215923 0.99211174249649 ,14.9087174673496 -0.174436102537416 -2.52507314665199 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.0510257815361 0.602781232940947 -0.133748361223495 ,19.3054904937744
V 621 :0.976890472811981 0.210598631052157 0.0365180249991451 -0.00505627452953435 0.193573271458067 -0.981072831264361 -0.213681521237087 0.958216070068873 0.190164608704657 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.970077419461275 0.242566135883831 -0.0105713842012101 -0.237687626460827 -0.957649853970918 -0.162516382070909 -0.0495446510612965 -0.15514075756073 0.986649215221405 ,14.6334495494642 -0.466771665886107 -4.1505875322005 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.1235358153326 0.921151921576156 -0.167723829773891 ,19.3054904937744
V 622 :0.979556538909733 0.199451751706224 0.0262278893323959 -0.011220624257996 0.184345023262861 -0.982797555571111 -0.200855697368014 0.962411562025996 0.182814263906618 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.973171829132871 0.230044526233721 -0.00399546028822433 -0.226740675163511 -0.961853712398639 -0.153055543934726 -0.03905263915658 -0.148043408989906 0.98820948600769 ,14.6852941660716 -0.564027428578765 -4.27413603962139 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.1893462868993 1.22349284675662 -0.122716453411526 ,19.3054904937744
V 623 :0.972450266198139 0.231675421792666 0.0258315115774355 -0.0163561380179659 0.178350274704635 -0.983831141125319 -0.232536592489776 0.956304481763004 0.177225964267075 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.965160512106837 0.261658959854947 0.000115244953388259 -0.258811469899525 -0.954592408332185 -0.147547744206927 -0.0384971685707569 -0.142437055706978 0.989054918289185 ,14.5425186963409 -0.703805090025803 -4.99057452099719 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.2512617374526 1.4661585030418 -0.14781026622632 ,19.3054904937744
V 624 :0.904598565208342 0.423929053871576 0.0445655809127737 -0.0378654515637303 0.184051445217103 -0.982187025933668 -0.42458000921483 0.886797470520578 0.182544810867098 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.891762199416069 0.452234840826953 0.0156294731013594 -0.448853439533718 -0.879659490007106 -0.157258117092707 -0.0573689863085747 -0.147252157330513 0.987433850765228 ,13.218605964067 -1.10389961025767 -8.18634868340498 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.4015610957223 1.80988646136568 -0.142698985587726 ,19.3054904937744
V 625 :0.770987660671395 0.631657557946753 0.0811617770951336 -0.0589833463154599 0.197719187660082 -0.978482575268225 -0.634113232540013 0.749610821544295 0.189696185310134 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.752110209508538 0.658321555773675 0.0307155130269187 -0.652280213200894 -0.736932430416256 -0.177373871597235 -0.0941337645053864 -0.153439775109291 0.983664095401764 ,10.7953516895766 -1.54095165899812 -11.5781535410394 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-15.6733271207941 2.13417758281897 -0.15030956074901 ,19.3054904937744
V 626 :0.607291882424133 0.792791348808985 0.0517594723607273 -0.10444253508564 0.144248735202612 -0.984014295625309 -0.787584292964046 0.592177983828326 0.170402086845681 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.584245947551673 0.808350197103906 0.0722991753126573 -0.809032909962583 -0.573050590453209 -0.130687547476902 -0.0642102211713791 -0.134846046566963 0.988783895969391 ,7.87730158722595 -2.2428072981148 -14.2341461056628 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-16.1412634313616 2.49786448382557 -0.151639870062745 ,19.3054904937744
V 627 :0.338841335083603 0.939150135175802 0.0564256155878156 -0.124303337499668 0.104134476879337 -0.986764803342048 -0.932596235366501 0.32734283786425 0.152024450437247 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.311737481540026 0.94594557377633 0.0894820307021192 -0.947707154645108 -0.302774132194468 -0.100891971865639 -0.0683454722166061 -0.116254553198814 0.990865170955658 ,3.18306465964317 -2.47894177400239 -16.2898934553911 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-16.4930585845461 2.61828329014628 -0.110160751402882 ,19.3054904937744
V 628 :0.185836883912949 0.981964709679292 0.034786702530844 -0.156678669042666 0.0645646746339978 -0.985537019114354 -0.97000866904748 0.177698723489915 0.165851326731242 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.157930321327886 0.979901792548964 0.121863275233286 -0.986325360395822 -0.150655197349446 -0.0668232698948471 -0.0471209138631821 -0.130750253796577 0.990294873714447 ,0.550066059755102 -2.97473182615346 -16.8163591947784 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-16.7979334535711 2.67140821992335 -0.124736191164899 ,19.3054904937744
V 630 :-0.0476613000088717 0.998846772321382 -0.00580509008056368 -0.205606717624238 -0.0154977047811599 -0.97851202723493 -0.977473532104846 -0.0454435603703224 0.206108157047747 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.0753130237767473 0.982126830104121 0.172495947148514 -0.997130274500107 0.0755109875495867 0.00542328926773596 -0.00769898295402527 -0.172409370541573 0.984995305538177 ,-3.52598315177906 -3.82379196285495 -17.5858103377719 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-18.0697453304526 2.71455399783384 -0.105422373281148 ,19.3054904937744
V 631 :0.155980187251878 0.987725632617569 0.00827442876137241 -0.184673613312633 0.0373905737757955 -0.982088426101886 -0.970343286682105 0.151658299692281 0.18823893725677 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.128287820436694 0.980314802058712 0.150083882247757 -0.991509053243764 -0.123536284867663 -0.0406046263718527 -0.0212645307183266 -0.154018580913544 0.987839102745056 ,0.231603230658841 -3.69885387869736 -18.5874543395492 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-18.6730992604173 2.76306479605291 -0.101487149575468 ,19.3054904937744
V 632 :0.0188496192783788 0.999381768417724 0.0296806683031427 -0.197303358912726 0.0328202968382255 -0.979792960427987 -0.980161362331817 0.0126126473080913 0.197799931238421 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.00897632749972554 0.986496019517506 0.16353909462221 -0.999037846178336 0.0158684522361978 -0.040886176407079 -0.0429291613399982 -0.163014724850655 0.985689222812653 ,-2.31792013649211 -4.01501805325341 -18.9757265800836 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-19.2706554830428 2.73242790944779 -0.0772925225534757 ,19.3054904937744
V 633 :0.137826998821149 0.989930136922061 0.0322855130566906 -0.175194808314291 0.0564488580839829 -0.982914222487444 -0.97483897023206 0.129815830208625 0.18121066980405 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.109937768902751 0.983942192665075 0.140612093271851 -0.992916662567424 -0.102306597610594 -0.0604159990916804 -0.0450603291392326 -0.146258056163788 0.988219678401947 ,0.0899661130298634 -3.74148132469797 -19.7243681403791 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-19.8146481092377 2.71794928041074 -0.0703921859733539 ,19.3054904937744
V 634 :0.00960069065912984 0.999906482430919 0.00974696321379798 -0.174758262020314 0.0112751967825419 -0.984546829453856 -0.984564673148366 0.00774896188685751 0.17485008530875 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.0185216099105089 0.989845388948566 0.140936384621449 -0.999578564353789 0.0214837592159812 -0.0195250436840374 -0.0223546139895916 -0.140515357255936 0.989826083183289 ,-2.43870353653668 -3.69221340306693 -20.0949910139308 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-20.3307530927337 2.68203297897693 -0.0625289139422626 ,19.3054904937744
V 635 :0.00417925454233376 0.999830824864506 0.0179206356009997 -0.190478742398531 0.01838860049875 -0.981519092496398 -0.981682628785701 0.000688540154219867 0.190523272638838 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.0237363924540619 0.987346501076456 0.156791769890818 -0.999238541657039 0.0282899802690553 -0.0268745693349927 -0.0309701636433601 -0.156034469604492 0.987265944480896 ,-2.52528066045482 -4.12505549132525 -20.3586494549203 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-20.6847205262451 2.66107655838963 -0.0903489622766903 ,19.3054904937744
V 636 :0.112760133161505 0.993045193278391 0.0338608699732291 -0.174875918687808 0.0533803261633446 -0.983142421339549 -0.97811237600541 0.104937842873604 0.179678767072201 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.0847825750668862 0.986458891635948 0.140395213292954 -0.995309652980746 -0.0772564503164681 -0.0582257234748872 -0.0465908609330654 -0.144673228263855 0.98838198184967 ,-0.242394211447033 -3.98714820483456 -21.0597743051886 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-21.1884090222514 2.70077169415387 -0.0917409341927822 ,19.3054904937744
V 637 :-0.0543373997419559 0.997455885139831 0.0461439059237019 -0.170275898118295 0.0362791677385295 -0.984728411938108 -0.983897280346253 -0.0613647365488827 0.16787129919383 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,0.0824430079505473 0.987130954105677 0.13702449859263 -0.994875736173287 0.0895935720782139 -0.0468534811092748 -0.0585270337760448 -0.132459610700607 0.989458978176117 ,-3.80071185777245 -3.93426412091208 -21.2904683842892 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-21.7514475209164 2.67691294514984 -0.0872905165364155 ,19.3054904937744
V 638 :0.0920313281677714 0.995189509581716 0.0335906431309841 -0.15315753919967 0.0474796935543145 -0.987060552035845 -0.983907242742929 0.0856959020778202 0.156790295583669 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.0637274773418163 0.990886839112237 0.118669009351918 -0.996922072766501 -0.0577678721306569 -0.0530043084469275 -0.045666016638279 -0.121681578457355 0.991518139839172 ,-0.553005831701498 -3.66501863753403 -22.2580620465766 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-22.3315694052817 2.67073717953909 -0.0714458748553702 ,19.3054904937744
